구분,항목,세부 내용,단위,수량,단가(원),기간 단위,금액,비고
기획 및 설계,,,,,,,"5,700,000",12.5%
,설계 및 기획,프로젝트 기획·운영 표준 설계,식,1,"500,000",1 식,"500,000",
,,플로어플랜 설계·사전 답사·권역 협의,권역,4,"75,000",1 식,"300,000",
,,참여단 의견 취합 및 분석 클라우드 설계,식,1,"500,000",1 식,"500,000",
,,발언내용 구조적 토픽 모델링 분석 설계 STM,식,1,"600,000",1 식,"600,000",
,조사,참여단 토론 조사문 설계 (직전·사후),식,1,"800,000",1 식,"800,000",
,,만족도 조사- 사전·직전·사후 통합,식,1,"600,000",1 식,"600,000",
,보고,권역별 원탁회의별 보고서 (6회),식,1,"300,000",6 회,"1,800,000",
,,최종 보고 - 백서 및 분석 보고서,식,1,"1,100,000",1 식,"1,100,000",hwpx 한글 5부 및 디지털 파일
인건비,,,,,,,"6,450,000",14.2%
,기획,PM,인,1,"750,000",7 개월,"5,250,000",월 3백만원 × 25% × 7개월
,보조,기획·분석 보조 인건비,인,1,"200,000",6 회,"1,200,000",
원탁회의 운영비,,,,,,,"15,817,500",34.8%
,퍼실리테이터,리딩 퍼실리테이터,인,1,"500,000",6 회,"3,000,000",fKF 인증
,,그룹 퍼실리테이터,인,3,"300,000",6 회,"5,400,000",fKF 인증
,,오퍼레이터,인,1,"300,000",6 회,"1,800,000",
,,현장 스냅사진 기록 담당,회,1,"50,000",6 회,"300,000",
,,퍼실리테이터 모집 관리 및 사전 교육 2회,식,1,"300,000",1 식,"300,000",(화상회의)
,장비,투표기 (10대 예비 포함),대,25,"10,250",6 회,"1,537,500",
,,각종 오퍼레이팅 장비 일체,회,1,"150,000",6 회,"900,000",
,보험,행사 보험,회,1,"100,000",6 회,"600,000",(스탭·참가자 안전)
,다과,다과·식음료,인,30,"6,000",6 회,"1,080,000",참가자+스탭+관계자 포함
,진행비,현장 진행비 일체,회,1,"150,000",6 회,"900,000",
참가자 관리,,,,,,,"6,837,045",15.0%
,참가 안내 및 상담,MMS·SMS 문자 발송비,식,1,"281,885",1 식,"281,885",
,,모집용 배너 (센터 실내),개,4,"85,040",1 식,"340,160",
,,콜센터·1:1 카톡 운영,식,1,"215,000",1 식,"215,000",
,사례비,상품권 (3만원 사례),인,200,"30,000",1 식,"6,000,000",
홍보·콘텐츠 제작,,,,,,,"6,850,000",15.1%
,홍보,웹포스터,식,1,"150,000",1 식,"150,000",
,,카드뉴스,컷,5,"80,000",1 식,"400,000",
,,SNS 홍보비,식,1,"300,000",1 식,"300,000",
,,모집용 현수막 (센터 외벽),개,4,"150,000",1 식,"600,000",
,원탁회의 참여단 학습용 자료,앱 매뉴얼 영상 (3분),건,1,"1,600,000",1 식,"1,600,000",
,,제주DA 홍보영상 (3분),건,1,"1,600,000",1 식,"1,600,000",
,,자료집 원고 작성·디자인,식,1,"200,000",1 식,"200,000",
,,자료집 8쪽 인쇄,부,250,"5,000",1 식,"1,250,000",
,공론장 안내,현장 안내 배너 연단 포디엄,개,4,"50,000",1 식,"200,000",(재사용)
,,안내 화살표 건물내 안내,장,5,"10,000",1 식,"50,000",(재사용)
,,이름표 - 250장,식,1,"500,000",1 식,"500,000",
진행비 및 사업관리비,,,,,,,"3,800,000",8.4%
,교통비,여비 교통비 및 스탭 식대,식,1,"300,000",6 식,"1,800,000",
,소모품비,토론 교보재 등 (펜·이름표·보고서·각종 소모품 등),식,1,"2,000,000",1 식,"2,000,000",
합계,,,,,,,"45,454,545",100.0%
부가세 (합계의 10%),,,,,,,"4,545,455",
총계 (합계 + 부가세),,,,,,,"50,000,000",
